,sample_number,sampled_date,month,text_id,room,building,class,sample_site,sample_type,results,units,analysis
41,9548772,2022-04-02,2022-04-02 00:00:00,V-91160-3-15APR22-1,91160,9,ISO_8,V-91160-3,viable air,0,CFU_M3,EM_VAIR_M3
42,9548569,2022-04-02,2022-04-02 00:00:00,F-91161S-1-30APR22-1,91161,9,ISO_8,F-91161S-1,surface,2,CFU_25CM2,EM_RODAC
43,9548571,2022-04-02,2022-04-02 00:00:00,F-91162S-1-30APR22-1,91162,9,ISO_8,F-91162S-1,surface,3,CFU_25CM2,EM_RODAC
44,9548587,2022-04-02,2022-04-02 00:00:00,W-91162S-1-30APR22-1,91162,9,ISO_8,W-91162S-1,surface,0,CFU_25CM2,EM_RODAC
45,9548769,2022-04-02,2022-04-02 00:00:00,V-91160-11-15APR22-1,91160,9,ISO_8,V-91160-11,viable air,0,CFU_M3,EM_VAIR_M3
46,9548559,2022-04-02,2022-04-02 00:00:00,F-91157S-1-30APR22-1,91157,9,ISO_8,F-91157S-1,surface,4,CFU_25CM2,EM_RODAC
47,9548760,2022-04-02,2022-04-02 00:00:00,V-91155-1-15APR22-1,91155,9,ISO_8,V-91155-1,viable air,0,CFU_M3,EM_VAIR_M3
48,9548577,2022-04-02,2022-04-02 00:00:00,W-91155S-1-30APR22-1,91155,9,ISO_8,W-91155S-1,surface,0,CFU_25CM2,EM_RODAC
49,9548557,2022-04-02,2022-04-02 00:00:00,F-91155S-1-30APR22-1,91155,9,ISO_8,F-91155S-1,surface,0,CFU_25CM2,EM_RODAC
50,9548780,2022-04-02,2022-04-02 00:00:00,V-91160-9-15APR22-1,91160,9,ISO_8,V-91160-9,viable air,0,CFU_M3,EM_VAIR_M3
51,9548788,2022-04-02,2022-04-02 00:00:00,V-91164-1-15APR22-1,91164,9,ISO_8,V-91164-1,viable air,0,CFU_M3,EM_VAIR_M3
52,9548782,2022-04-02,2022-04-02 00:00:00,V-91161-1-15APR22-1,91161,9,ISO_8,V-91161-1,viable air,0,CFU_M3,EM_VAIR_M3
53,9548784,2022-04-02,2022-04-02 00:00:00,V-91162-1-15APR22-1,91162,9,ISO_8,V-91162-1,viable air,0,CFU_M3,EM_VAIR_M3
125,9548822,2022-04-04,2022-04-04 00:00:00,SP-91172-1-30APR22-1,91172,9,ISO_8,SP-91172-1,settle plate,0,CFU,EM_SETTLEPLATE
126,9548821,2022-04-04,2022-04-04 00:00:00,SP-91171-1-30APR22-1,91171,9,ISO_8,SP-91171-1,settle plate,0,CFU,EM_SETTLEPLATE
127,9548841,2022-04-04,2022-04-04 00:00:00,V-91178-1-30APR22-1,91178,9,ISO_8,V-91178-1,viable air,0,CFU_M3,EM_VAIR_M3
